Plante ;Angle Jour 0;Angle Jour 1;Position;NPA
Plante 1;168.527;155.075;Courbe;Avec
Plante 2;173.283;147.071;Courbe;Avec
Plante 3;177.797;177.056;Courbe;Avec
Plante 4;169.992;171.355;Courbe;Avec
Plante 5;175.236;177.039;Courbe;Avec
Plante 6;177.78;178.83;Courbe;Avec
Plante 7;180;162.388;Courbe;Avec
Plante 8;179.751;161.956;Courbe;Avec
Plante 9;177.949;156.745;Courbe;Avec
Plante 10;170.254;161.186;Courbe;Avec
Plante 11;163.241;158.819;Debout;Avec
Plante 12;173.322;157.166;Debout;Avec
Plante 13;159.392;166.686;Debout;Avec
Plante 14;164.078;165.687;Debout;Avec
Plante 15;167.207;173.991;Debout;Avec
Plante 16;169.38;172.949;Debout;Avec
Plante 17;168.247;169.261;Debout;Avec
Plante 18;168.69;161.454;Debout;Avec
Plante 19;164.407;172.389;Debout;Avec
Plante 20;173.064;171.231;Debout;Avec
Plante 21;163.36;175.865;Courbe;Sans
Plante 22;175.977;120.674;Courbe;Sans
Plante 23;178.452;137.252;Courbe;Sans
Plante 24;173.729;95.027;Courbe;Sans
Plante 25;175.197;149.233;Courbe;Sans
Plante 26;171.518;114.664;Courbe;Sans
Plante 27;171.469;133.897;Courbe;Sans
Plante 28;177.169;152.117;Courbe;Sans
Plante 29;165.324;154.189;Courbe;Sans
Plante 30;175.721;143.991;Courbe;Sans
Plante 31;174.92;151.954;Debout;Sans
Plante 32;162.357;173.411;Debout;Sans
Plante 33;164.818;174.695;Debout;Sans
Plante 34;164.157;168.056;Debout;Sans
Plante 35;168.111;144.547;Debout;Sans
Plante 36;176.341;158.764;Debout;Sans
Plante 37;164.712;167.486;Debout;Sans
Plante 38;169.599;168.417;Debout;Sans
Plante 39;179.838;169.771;Debout;Sans
Plante 40;169.179;173.358;Debout;Sans